Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'gravity': 0.6884314594384848, 'alpha': 0.016984454925562845}
Mejor rendimiento encontrado:
1.1072656684169608

Stderr:
[I 2024-10-21 10:28:03,261] A new study created in memory with name: no-name-93f00732-6246-4904-bb72-eaa9f3c68537
[I 2024-10-21 10:28:26,249] Trial 26 finished with value: 1.3934039963068736 and parameters: {'gravity': 0.769358506582432, 'alpha': 0.01536430420436569}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:27,014] Trial 27 finished with value: 1.802230318379845 and parameters: {'gravity': 0.5874011693001389, 'alpha': 0.017771385702216088}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:27,783] Trial 28 finished with value: 1.3602095785931247 and parameters: {'gravity': 0.6726800791209556, 'alpha': 0.018897063655980484}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:28,589] Trial 29 finished with value: 1.9339197604528522 and parameters: {'gravity': 0.5027167210834844, 'alpha': 0.015922270739176153}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:29,486] Trial 30 finished with value: 1.7429050188672495 and parameters: {'gravity': 0.8950095167646147, 'alpha': 0.014407400218185682}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:30,290] Trial 31 finished with value: 1.3788073798271006 and parameters: {'gravity': 0.7435410826135335, 'alpha': 0.017207875939441616}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:31,084] Trial 32 finished with value: 1.547034982181703 and parameters: {'gravity': 0.705970823208827, 'alpha': 0.0168394025565698}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:31,896] Trial 33 finished with value: 1.8508806668040405 and parameters: {'gravity': 0.8106896594275901, 'alpha': 0.018855073016269274}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:32,666] Trial 34 finished with value: 1.6448829835450098 and parameters: {'gravity': 0.5975142219450614, 'alpha': 0.017447985468308252}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:33,458] Trial 35 finished with value: 1.6153268899671263 and parameters: {'gravity': 0.7218399318928935, 'alpha': 0.016475485308175844}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:34,260] Trial 36 finished with value: 1.6449601031949372 and parameters: {'gravity': 0.9815995928560803, 'alpha': 0.019223785413856415}. Best is trial 11 with value: 1.1072656684169608.
