Iteration_1 # 2 agents, 2 dimensions
rep = 21, x_best = [-9.32170346e-06 -1.48359044e-05], f_best = 0.0017445407779952404
rep = 22, x_best = [ 1.52472975e-11 -2.32149611e-10], f_best = 2.3031152096564256e-08
rep = 23, x_best = [-1.55384931e-06  1.96174336e-06], f_best = 0.0002479466397637964
rep = 24, x_best = [ 5.81035915e-06 -8.51933604e-06], f_best = 0.0010243143551278422
rep = 25, x_best = [-4.25441925e-07 -3.84527764e-07], f_best = 5.678089423355459e-05
rep = 26, x_best = [ 0.19957905 -0.11404542], f_best = 13.597085504420427
rep = 27, x_best = [ 1.02546057e-06 -8.40255841e-07], f_best = 0.00013129937154232607
rep = 28, x_best = [-0.0007252  -0.00016344], f_best = 0.09152114408694345
rep = 29, x_best = [ 6.76136673e-06 -2.32124854e-05], f_best = 0.0024124850383593355
rep = 30, x_best = [-8.73956600e-04 -6.82318454e-05], f_best = 0.11165424543765567
Iteration_4
rep = 1, x_best = [-0.00027255 -0.02774972], f_best = 2.591345308767849
rep = 2, x_best = [0.00081781 0.05697665], f_best = 4.938000521455869
rep = 3, x_best = [0.00013722 0.08500515], f_best = 6.886033960617926
rep = 4, x_best = [-0.14237846 -0.11390209], f_best = 11.901256694689192
rep = 5, x_best = [ 0.14240902 -0.11393596], f_best = 11.901326676862348
rep = 6, x_best = [ 0.14429217 -0.0829582 ], f_best = 11.517366944263323
rep = 7, x_best = [ 0.19945388 -0.31389914], f_best = 16.84098914722957
rep = 8, x_best = [-1.22678630e-04  2.56560869e-01], f_best = 14.394457619383452
rep = 9, x_best = [ 0.71278533 -0.57182222], f_best = 19.86018100953075
rep = 10, x_best = [-0.03337811 -0.00911939], f_best = 4.83057828192749
rep = 11, x_best = [ 0.37130769 -0.34277677], f_best = 18.361108386962478
rep = 12, x_best = [-0.0056755  -0.00783979], f_best = 2.5681160209026253
rep = 13, x_best = [0.02616628 0.1378248 ], f_best = 10.804538044845232
rep = 14, x_best = [-0.85706117 -0.05722131], f_best = 19.715615959853487
rep = 15, x_best = [-0.08606355  0.02699923], f_best = 7.285392385174401
rep = 16, x_best = [ 2.71736906e-02 -5.18470438e-06], f_best = 2.5799564742180507
rep = 17, x_best = [ 0.20117209 -0.43093968], f_best = 18.316290782170288
rep = 18, x_best = [2.88509073e-02 7.53424540e-06], f_best = 2.6640997792085273
rep = 19, x_best = [ 0.02972107 -0.28463114], f_best = 15.229197383825346
rep = 20, x_best = [-0.0007954  -0.00223388], f_best = 0.40891478351337796
rep = 21, x_best = [0.08799502 0.19703572], f_best = 13.538309803891575
rep = 22, x_best = [ 0.6291787  -0.08515888], f_best = 19.158790849129197
rep = 23, x_best = [ 0.17105349 -0.14216517], f_best = 13.368939190051602
rep = 24, x_best = [0.05538695 0.11388378], f_best = 9.417677987136235
rep = 25, x_best = [0.79976511 0.60011267], f_best = 19.860440754708204
rep = 26, x_best = [-0.05625505 -0.14216449], f_best = 10.657628308268613
rep = 27, x_best = [ 0.05670183 -0.14403802], f_best = 10.755995319530582
rep = 28, x_best = [-0.02779453  0.02764451], f_best = 3.5749642410148894
rep = 29, x_best = [-0.00028359 -0.00115266], f_best = 0.16285108559479866
rep = 30, x_best = [-0.19997138 -0.65710794], f_best = 19.332463691832316

