Iteration_1 # 2 agents, 2 dimensions
rep = 10, x_best = [ 0.00438347  0.21566662 -0.18335661], f_best = 4.9992025126754065
rep = 11, x_best = [ 0.20621503  0.01887042 -0.2031198 ], f_best = 4.914890045165475
rep = 12, x_best = [ 0.00101349 -0.18244228 -0.0065746 ], f_best = 1.9468089449918367
rep = 13, x_best = [ 0.20159023  0.00971692 -0.18020813], f_best = 3.764423507633534
rep = 14, x_best = [-0.01008422 -0.394954   -0.00597003], f_best = 4.895029171264696
rep = 15, x_best = [ 0.02934323  0.01115661 -0.19675144], f_best = 5.822741705891616
rep = 16, x_best = [-0.3973925  -0.18611563  0.18969005], f_best = 6.824768402656211
rep = 17, x_best = [ 0.19105308  0.17687083 -0.19378172], f_best = 4.575986922305198
rep = 18, x_best = [0.01510504 0.00240114 0.01770338], f_best = 2.7801264603008917
rep = 19, x_best = [-0.1868919   0.1815934  -0.39907082], f_best = 7.644641432581487
rep = 20, x_best = [ 0.19497804 -0.01030787 -0.20165589], f_best = 2.818230942655937
rep = 21, x_best = [ 0.21542914  0.20864399 -0.19725659], f_best = 6.324932853686242
rep = 22, x_best = [ 0.00849043 -0.19912884  0.02500912], f_best = 4.569301098437236
rep = 23, x_best = [ 0.00964725 -0.19879691 -0.17285169], f_best = 4.861020427872386
rep = 24, x_best = [ 0.20326032 -0.18409232  0.17008364], f_best = 6.815950915698455
rep = 25, x_best = [0.18111106 0.19651596 0.0042632 ], f_best = 2.999669196388531
rep = 26, x_best = [0.00055966 0.00826542 0.1920876 ], f_best = 1.3758661399247316
rep = 27, x_best = [-0.01403249  0.01262171 -0.01565511], f_best = 3.072174120333692
rep = 28, x_best = [-0.01990715  0.00063946  0.03148316], f_best = 6.725208972556729
rep = 29, x_best = [0.19557535 0.21809679 0.00124613], f_best = 4.8261306116877165
rep = 30, x_best = [-0.00635519 -0.01776487  0.20262921], f_best = 3.1587219128519735
Iteration_4
rep = 1, x_best = [-0.19090705  0.35057133 -0.00843731 -0.19939311 -0.23355338], f_best = 21.077731518982933
rep = 2, x_best = [-0.00319138 -0.20632595  0.16711185  0.59838715 -0.39138575], f_best = 20.55908087942263
rep = 3, x_best = [ 0.21276328 -0.20212847 -0.02039164  0.41463661 -0.36258194], f_best = 20.710308609767157
rep = 4, x_best = [ 0.02032038 -0.23077062 -0.00028052  0.20216404  0.04543563], f_best = 19.57743518103586
rep = 5, x_best = [-0.16900378  0.36121212  0.1789791  -0.35833277 -0.03119007], f_best = 26.827671966395286
rep = 6, x_best = [ 0.20029798  0.00183854  0.06505215 -0.20606673 -0.4219408 ], f_best = 27.326383532821037
rep = 7, x_best = [-0.58297713  0.19539747  0.18875718  0.36695141 -0.40334914], f_best = 22.4943919181521
rep = 8, x_best = [ 0.21161236  0.4056264  -0.00921485 -0.36246633 -0.04937808], f_best = 25.925890431054775
rep = 9, x_best = [-0.17646738  0.17032279 -0.01200859  0.22314603  0.39645471], f_best = 16.509609606893775
rep = 10, x_best = [-0.400105    0.0061294   0.57793007  0.16522999 -0.19474922], f_best = 19.97838729592774
rep = 11, x_best = [-0.00274795 -0.5902198  -0.17607676  0.13887382  0.37670745], f_best = 29.56826344787086
rep = 12, x_best = [-0.21306184 -0.41248184 -0.19950662 -0.43288685  0.01428739], f_best = 24.601427358428985
rep = 13, x_best = [ 0.02268456 -0.41225823  0.18010023 -0.59244264 -0.18934724], f_best = 21.90751410829436
rep = 14, x_best = [ 0.01647427  0.40996201  0.14858168 -0.21895695  0.00390636], f_best = 21.654620658526163
rep = 15, x_best = [-0.00767943  0.18384499  0.1563308  -0.25711874 -0.38413739], f_best = 29.26282771576603
rep = 16, x_best = [ 0.41982431  0.01780491  0.18638232 -0.19796042 -0.77772158], f_best = 28.62566740301036
rep = 17, x_best = [-0.59634949 -0.16034518  0.37057686 -0.00975531 -0.18671832], f_best = 23.63294965920667
rep = 18, x_best = [ 0.20415195 -0.03567317  0.1877826   0.58676949 -0.02172148], f_best = 20.022357908301732
rep = 19, x_best = [-0.01667042  0.02328788  0.02404156 -0.17742235  0.35190702], f_best = 19.44977868386585
rep = 20, x_best = [ 0.36288949  0.17503708 -0.34991041 -0.18285651 -0.00124034], f_best = 22.337224425612696
rep = 21, x_best = [-0.3910083   0.02803883 -0.37822646 -0.39358214  0.24473325], f_best = 28.230654105556905
rep = 22, x_best = [-0.36035126  0.18323597 -0.00666288 -0.18409808  0.00730701], f_best = 11.447255776778974
rep = 23, x_best = [ 0.16934119  0.60668719 -0.01751403 -0.20830534  0.00624015], f_best = 19.592652816020177
rep = 24, x_best = [ 0.02257697 -0.40048632  0.02464719  0.02960166  0.61266129], f_best = 27.776340629285716
rep = 25, x_best = [ 0.17146616 -0.23069627  0.20054687 -0.57283662  0.39661239], f_best = 25.7567307805014
rep = 26, x_best = [-0.34348599 -0.0180142   0.38080195 -0.1940558   0.01221901], f_best = 20.24939999957338
rep = 27, x_best = [-0.41117691 -0.0279631  -0.19341521  0.22853173 -0.14919332], f_best = 27.608681112611844
rep = 28, x_best = [-0.16231935 -0.00569852  0.22618155 -0.2007765  -0.14870095], f_best = 22.940232845137334
rep = 29, x_best = [-0.20505948 -0.37446022  0.20485939 -0.58630783  0.18554272], f_best = 18.56005502448019
rep = 30, x_best = [-0.36226765  0.17258716  0.2041617   0.02507683 -0.58933411], f_best = 24.41411856535038
Iteration_5
rep = 1, x_best = [ 0.38654461 -0.58300003  0.19430951], f_best = 13.952464190462187
rep = 2, x_best = [0.19578108 0.38878498 0.55040556], f_best = 18.779285487041797
rep = 3, x_best = [-0.17893782 -0.19299961 -0.0055505 ], f_best = 3.3589333421554315
rep = 4, x_best = [0.38733775 0.19068765 0.19432784], f_best = 6.0474603588640505
rep = 5, x_best = [-0.00302807 -0.19432851 -0.19497921], f_best = 2.0397729510440854
rep = 6, x_best = [-3.88585283e-01  1.89970149e-01 -9.69687917e-06], f_best = 5.073220400597002
rep = 7, x_best = [-5.90720827e-01 -4.81080099e-04 -1.90140875e-01], f_best = 10.352728636535055
rep = 8, x_best = [-2.14620915e-06 -1.94358504e-01 -2.82134363e-05], f_best = 0.9949681023904873
rep = 9, x_best = [ 2.07555102e-01 -5.61383875e-07 -1.95416702e-01], f_best = 2.8960066366116592
rep = 10, x_best = [-0.00077731  0.17442947 -0.61982491], f_best = 18.421382490231153
rep = 11, x_best = [ 2.05075546e-01 -1.05780594e-04  3.45127177e-02], f_best = 7.178745813036208
rep = 12, x_best = [ 0.3886546   0.18458542 -0.00082527], f_best = 5.466091459742962
rep = 13, x_best = [0.58295956 0.18500016 0.38817348], f_best = 14.378077732620378
rep = 14, x_best = [ 5.79041044e-01 -7.91717987e-06  4.23356605e-04], f_best = 9.035417965163951
rep = 15, x_best = [ 3.88657586e-01  2.64885384e-01 -1.18231876e-04], f_best = 22.00833981183942
rep = 16, x_best = [ 1.57859338e-10 -1.99483965e-01 -2.20657014e-01], f_best = 5.55316874878455
