Iteration_1 # 2 agents, 2 dimensions
rep = 22, x_best = [ 0.19329086 -0.21558079  0.16169069 -0.21383951 -0.1970696 ], f_best = 14.213545559205421
rep = 23, x_best = [ 0.01992928 -0.0093533   0.20862053  0.18976522 -0.20065505], f_best = 6.796773279138648
rep = 24, x_best = [-0.18895598 -0.00398995 -0.00991897 -0.22201755 -0.00035966], f_best = 6.496001404560111
rep = 25, x_best = [-0.6009273   0.19245733 -0.17287272 -0.0265825  -0.0044133 ], f_best = 18.45628525158473
rep = 26, x_best = [ 0.00212459 -0.37827489  0.18568029 -0.38093423 -0.17565972], f_best = 12.961277362023665
rep = 27, x_best = [-0.37712699 -0.00906915 -0.00722303 -0.17885529  0.00926735], f_best = 8.002247997572695
rep = 28, x_best = [-0.0070907   0.39561415 -0.00524629 -0.17453826  0.36714314], f_best = 13.838011217996609
rep = 29, x_best = [ 0.02826779  0.17530901 -0.4003219  -0.00665639  0.22595795], f_best = 17.414462155404806
rep = 30, x_best = [-0.1822852  -0.0252642  -0.02369447  0.34683876  0.00826864], f_best = 19.55212394038956
Iteration_11
rep = 1, x_best = [-0.19206066 -0.19639468 -0.21164454], f_best = 4.561818198540539
rep = 2, x_best = [-0.00941995 -0.01948444  0.17310812], f_best = 5.5990423702992835
rep = 3, x_best = [-0.19782764 -0.20605023  0.18613068], f_best = 4.1035877379864125
rep = 4, x_best = [ 0.013123    0.18863597 -0.19550367], f_best = 3.0471998882548093
rep = 5, x_best = [ 0.01740324  0.0060269  -0.21639733], f_best = 5.164107446825284
rep = 6, x_best = [ 0.17209891  0.18783219 -0.00743624], f_best = 4.936853046369734
rep = 7, x_best = [-0.17951442 -0.00133325 -0.21157201], f_best = 4.628421973421844
rep = 8, x_best = [ 0.21476034  0.01015002 -0.196717  ], f_best = 4.658861837762906
rep = 9, x_best = [-0.0066071  -0.3902259   0.00561207], f_best = 4.3821935473849685
rep = 10, x_best = [-0.18286532 -0.18391511 -0.20666323], f_best = 4.997931571827202
rep = 11, x_best = [ 0.00467595  0.18782781 -0.19736581], f_best = 2.369749941407246
rep = 12, x_best = [ 0.17963732  0.1961803  -0.19764314], f_best = 4.1555530248894215
rep = 13, x_best = [-0.18907222  0.17374859  0.1931991 ], f_best = 5.24210251714036
rep = 14, x_best = [-0.00763056  0.17906923 -0.18097128], f_best = 4.380409073884788
rep = 15, x_best = [0.00479069 0.18232089 0.19359473], f_best = 2.8489944264858025
rep = 16, x_best = [-0.00235932 -0.21971106  0.00282619], f_best = 4.2612992306700725
rep = 17, x_best = [-0.20432847 -0.20482874 -0.01359673], f_best = 4.023217941883917
rep = 18, x_best = [ 0.01702436 -0.02041724 -0.0253163 ], f_best = 6.715680090743515
rep = 19, x_best = [-0.00380004 -0.21192414 -0.19100088], f_best = 3.6989517485139345
rep = 20, x_best = [-0.00424452 -0.18728569  0.0168808 ], f_best = 2.7907134295128344
rep = 21, x_best = [-0.39910796 -0.01886355 -0.18901086], f_best = 7.48174461854488
rep = 22, x_best = [0.0059965  0.00209484 0.17810875], f_best = 2.5336393969797726
rep = 23, x_best = [-0.20549876 -0.01900908  0.18323897], f_best = 5.0859009922909415
rep = 24, x_best = [-0.18508595 -0.01157304  0.18971591], f_best = 3.2280640788103483
rep = 25, x_best = [-0.1987414   0.2037889   0.17038232], f_best = 6.36267889419404
rep = 26, x_best = [-0.00772577  0.17137417  0.19509199], f_best = 4.898266457659197
rep = 27, x_best = [-0.02848423  0.00625282  0.39503913], f_best = 8.328171816653338
rep = 28, x_best = [ 0.00226078 -0.21668832  0.17821689], f_best = 5.8372604072756005
rep = 29, x_best = [-0.00282659 -0.19476208  0.19208195], f_best = 2.058610485724291
rep = 30, x_best = [ 0.02479204 -0.20103387  0.00596173], f_best = 4.444178324055855
Iteration_12
rep = 1, x_best = [ 0.01069211 -0.01093771 -0.20105787], f_best = 2.434583754699279
rep = 2, x_best = [ 0.18087364  0.02560151 -0.00897116], f_best = 5.554142964604189
rep = 3, x_best = [-0.01747838 -0.19146105  0.20260486], f_best = 3.9351693205753193
rep = 4, x_best = [ 0.01724391 -0.02217751 -0.01252332], f_best = 4.76392334404683
rep = 5, x_best = [ 0.39864674 -0.19311893 -0.01497799], f_best = 6.64409828326842
rep = 6, x_best = [ 0.0133662   0.19222905 -0.17164099], f_best = 5.467158730707549
rep = 7, x_best = [-0.19567416  0.19093611 -0.1945447 ], f_best = 3.054217838981053
rep = 8, x_best = [ 0.02000181 -0.19726483 -0.19340587], f_best = 4.049403380638875
rep = 9, x_best = [-0.20691988 -0.2112503  -0.19545476], f_best = 5.268775260752982
rep = 10, x_best = [ 0.00193925  0.20671452 -0.00887235], f_best = 2.211563085140476
rep = 11, x_best = [0.01685605 0.01608946 0.0117452 ], f_best = 3.467655266277035
rep = 12, x_best = [0.18956226 0.01107934 0.21587186], f_best = 5.074528652473024
rep = 13, x_best = [-0.01166382 -0.21424535 -0.01123376], f_best = 4.350006591117399
rep = 14, x_best = [-0.00075431 -0.03290855 -0.00777817], f_best = 5.444000614226049
rep = 15, x_best = [-0.18823897 -0.17697002 -0.18220957], f_best = 5.444324052795984
rep = 16, x_best = [ 0.20901903  0.22378611 -0.20935295], f_best = 9.476346936469948
rep = 17, x_best = [ 0.00739367  0.20276455 -0.02605202], f_best = 4.97568211057807
rep = 18, x_best = [ 0.17320105 -0.00707754  0.00299914], f_best = 3.5175467547365784
rep = 19, x_best = [-0.19603433 -0.21872092  0.00963373], f_best = 5.446922016823223
rep = 20, x_best = [ 0.18575927 -0.00097956  0.37490628], f_best = 6.314154852881437
rep = 21, x_best = [-0.38828303  0.02102857 -0.01171464], f_best = 6.899718782476722
rep = 22, x_best = [0.18249151 0.00274734 0.17768582], f_best = 4.143584906165888
rep = 23, x_best = [ 0.00361164 -0.19226707 -0.02133016], f_best = 3.3600407691458827
rep = 24, x_best = [0.0060676  0.36992858 0.17848769], f_best = 8.178508090122712
rep = 25, x_best = [ 0.16684874 -0.00934563  0.19684167], f_best = 6.115886985498982
rep = 26, x_best = [-0.21240055 -0.19490278 -0.01953693], f_best = 5.573519735639973
rep = 27, x_best = [ 0.00087093 -0.18037727 -0.2065688 ], f_best = 3.7561403965225324
rep = 28, x_best = [-0.17726079  0.18042281  0.19839236], f_best = 5.522632036507012
rep = 29, x_best = [-0.17623081 -0.18059077  0.19850726], f_best = 5.681164257813048
rep = 30, x_best = [ 0.21522682 -0.01640779  0.19798214], f_best = 5.62964903430797
Iteration_13
rep = 1, x_best = [0.19470917 0.01431136 0.21746239], f_best = 5.715083777328015
rep = 2, x_best = [-0.22297358  0.00869709 -0.00444738], f_best = 5.501580032923648
rep = 3, x_best = [-0.20512472  0.20393951 -0.00498991], f_best = 3.1992372902913857
rep = 4, x_best = [-0.01343837  0.01241581 -0.01969865], f_best = 3.667665173772697
rep = 5, x_best = [-0.02752277  0.00187147 -0.01170545], f_best = 4.412560677468278
rep = 6, x_best = [-0.17616082 -0.00197631  0.1924684 ], f_best = 3.685386468800033
rep = 7, x_best = [-0.18720661 -0.01523349  0.20688011], f_best = 4.246232765244486
rep = 8, x_best = [ 0.01180935 -0.00763265  0.01789121], f_best = 2.637635740911854
rep = 9, x_best = [-0.20096597 -0.01455838 -0.00920061], f_best = 2.743096361470073
rep = 10, x_best = [-0.18557284  0.01086998 -0.18443369], f_best = 3.4957787322491853
rep = 11, x_best = [-0.18152064  0.16495174 -0.19133635], f_best = 7.989077276169624
rep = 12, x_best = [-0.00450166  0.19893246 -0.009166  ], f_best = 1.6441537902905168
rep = 13, x_best = [0.02355411 0.00149953 0.1938272 ], f_best = 3.758542780559857
rep = 14, x_best = [-0.20349939 -0.00501028  0.17993466], f_best = 3.6083213222820874
rep = 15, x_best = [ 0.00777334 -0.22100886 -0.01192672], f_best = 5.5504251269083795
rep = 16, x_best = [-0.00666344 -0.20323061 -0.20679328], f_best = 3.430785219296247
rep = 17, x_best = [-0.39644891  0.20619015  0.18524062], f_best = 7.435555986646175
rep = 18, x_best = [-0.00164723  0.20767407  0.01935436], f_best = 3.81137207203556
rep = 19, x_best = [ 0.20081335  0.19617885 -0.17756264], f_best = 4.639019126663722
rep = 20, x_best = [ 0.00711788 -0.19330176 -0.00481018], f_best = 1.3828717251089344
rep = 21, x_best = [ 8.24283438e-05 -1.89278456e-01  5.50200431e-03], f_best = 1.2840410561004312
rep = 22, x_best = [-0.00679493 -0.01782266  0.00197502], f_best = 1.8669131678820747
rep = 23, x_best = [ 0.00081976  0.01945939 -0.00551428], f_best = 2.0674123375315965
rep = 24, x_best = [ 0.18798963  0.18660464 -0.01459915], f_best = 3.593580454030196
rep = 25, x_best = [ 0.00318819 -0.16347941  0.19609523], f_best = 6.565656115176893
rep = 26, x_best = [-0.19432192  0.18024811 -0.21294358], f_best = 5.752681909953221
rep = 27, x_best = [ 0.18966475  0.00286724 -0.21955293], f_best = 5.303497404615925
rep = 28, x_best = [-0.01122261 -0.1822649  -0.01284062], f_best = 3.2323147618748465
rep = 29, x_best = [-0.00468044  0.19406784  0.18999137], f_best = 2.201436072047308
rep = 30, x_best = [-0.18806387 -0.21152861 -0.00828259], f_best = 4.055554759880771
Iteration_14
rep = 1, x_best = [ 0.18361802 -0.00475331 -0.37332011], f_best = 6.863868819890229
rep = 2, x_best = [-0.00142539 -0.00746932  0.00544969], f_best = 0.45339502314303815
rep = 3, x_best = [0.00669853 0.19332178 0.0084375 ], f_best = 1.6006705045674892
rep = 4, x_best = [-0.01284472 -0.18884553  0.00125533], f_best = 2.0046700435095097
rep = 5, x_best = [ 0.20603858 -0.18650495  0.19096752], f_best = 4.066390094815205
rep = 6, x_best = [ 0.00536117 -0.00091264  0.00257265], f_best = 0.18784474023955866
rep = 7, x_best = [-0.19986342  0.00902628  0.39088243], f_best = 5.580507212616741
rep = 8, x_best = [-0.21950988  0.00438829 -0.2071708 ], f_best = 6.086900472162171
rep = 9, x_best = [-0.00162756 -0.02047001 -0.00617462], f_best = 2.3133938399639433
rep = 10, x_best = [-0.02264652  0.21339237 -0.00199697], f_best = 5.410693153375568
rep = 11, x_best = [ 0.0093662  -0.38476816  0.00764515], f_best = 4.813192412978758
rep = 12, x_best = [-0.00162561 -0.00253679  0.38608028], f_best = 4.06134246906236
rep = 13, x_best = [-0.20048228  0.18852755 -0.0105361 ], f_best = 2.932466331821921
rep = 14, x_best = [-0.00858856  0.00444643  0.01145898], f_best = 1.1590890314915896
rep = 15, x_best = [-0.01106887  0.20723778 -0.19817479], f_best = 3.55515045324416
rep = 16, x_best = [ 0.00041947  0.19289223 -0.0103709 ], f_best = 1.56080490315626
rep = 17, x_best = [0.19353022 0.00187474 0.19044512], f_best = 2.089658735454144
rep = 18, x_best = [ 9.36968459e-05  9.56963597e-04 -1.27184963e-03], f_best = 0.013219544227276003
rep = 19, x_best = [ 0.19419235  0.00116774 -0.00151177], f_best = 1.014029085491707
rep = 20, x_best = [0.00536112 0.18328366 0.00909704], f_best = 2.196490302131256
rep = 21, x_best = [ 0.00122587 -0.19371156  0.19489332], f_best = 2.001368853246788
rep = 22, x_best = [ 0.00190067 -0.39287004 -0.00357833], f_best = 4.157480961078306
rep = 23, x_best = [ 0.00058158  0.00149451 -0.20583905], f_best = 1.6919898500420416
rep = 24, x_best = [ 0.19846938  0.00802242 -0.00948492], f_best = 1.8812589845738117
rep = 25, x_best = [-0.19234684 -0.38852384 -0.00306309], f_best = 5.044015127386835
rep = 26, x_best = [-0.19671817  0.00900755  0.00223306], f_best = 1.4696276236138033
rep = 27, x_best = [-0.00593311 -0.00507819  0.00289271], f_best = 0.3598297424139787
rep = 28, x_best = [ 0.20667806  0.17693312 -0.20200531], f_best = 5.599656632823908
rep = 29, x_best = [-0.19702296 -0.19581787 -0.18669143], f_best = 3.335024546868908
rep = 30, x_best = [-0.19155295  0.00043237  0.223525  ], f_best = 6.1892150828237185
 
