Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.3957402827395901, 'self_conf': 2.2568008160256836, 'swarm_conf': 2.3221075041891215, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6318196136628489, 'angle': 2.067774088773747, 'sigma': 0.11226822266391662}
Mejor rendimiento encontrado:
28.744964218045794

Stderr:
[I 2024-11-21 00:37:00,788] A new study created in memory with name: no-name-11c99ebe-236b-4ac9-a633-22d2beed715b
[I 2024-11-21 00:37:27,384] Trial 16 finished with value: 28.744964218045794 and parameters: {'factor': 0.3957402827395901, 'self_conf': 2.2568008160256836, 'swarm_conf': 2.3221075041891215, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6318196136628489, 'angle': 2.067774088773747, 'sigma': 0.11226822266391662}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:28,814] Trial 17 finished with value: 35.164003745073586 and parameters: {'factor': 0.36100957450770643, 'self_conf': 2.331986771132918, 'swarm_conf': 2.313602805590073, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7871278701985337, 'angle': 1.5669714061411613, 'sigma': 0.16453676121086397}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:30,194] Trial 18 finished with value: 34.42122520279075 and parameters: {'factor': 0.39606071369435336, 'self_conf': 1.9487767383509165, 'swarm_conf': 2.3167884649255477, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5549642130278782, 'angle': 1.97902149244764, 'sigma': 0.19979153487797505}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:31,568] Trial 19 finished with value: 48.003056212021846 and parameters: {'factor': 0.563874663616238, 'self_conf': 1.6292544079787095, 'swarm_conf': 2.119667068649596, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.29467328663319164, 'angle': 1.0955315688908138, 'sigma': 0.11773180836853642}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:32,900] Trial 20 finished with value: 52.48967990912389 and parameters: {'factor': 0.5676560786118942, 'self_conf': 1.3018027276329782, 'swarm_conf': 2.6271635083592613, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.48646480525777636, 'angle': 1.655574037426787, 'sigma': 0.14991517978438076}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:34,280] Trial 21 finished with value: 36.090471126805156 and parameters: {'factor': 0.42577627195531115, 'self_conf': 1.9186209395137308, 'swarm_conf': 2.3434037083923056, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5886662983888707, 'angle': 1.9563931771907026, 'sigma': 0.18392275746649633}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:35,676] Trial 22 finished with value: 38.84376581267087 and parameters: {'factor': 0.3888503679669949, 'self_conf': 2.313827315116244, 'swarm_conf': 2.2195520164272327, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5527212803851304, 'angle': 2.0209796131797244, 'sigma': 0.1919034842798163}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:37,055] Trial 23 finished with value: 37.794824956928466 and parameters: {'factor': 0.32736476407090404, 'self_conf': 2.0701091935273417, 'swarm_conf': 2.394201340553811, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6455706044520495, 'angle': 1.973461046848545, 'sigma': 0.1995377097617774}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:38,455] Trial 24 finished with value: 69.87318765145827 and parameters: {'factor': 0.23718273539349186, 'self_conf': 2.4820239028210187, 'swarm_conf': 2.624272408756571, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.4082673603314071, 'angle': 1.7332028721702195, 'sigma': 0.17319829626817998}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:39,858] Trial 25 finished with value: 83.8403435861606 and parameters: {'factor': 0.49536514924114616, 'self_conf': 1.9079164036089848, 'swarm_conf': 2.1627141509381436, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7187090846691099, 'angle': 1.4707970904243306, 'sigma': 0.1320045571527833}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:41,293] Trial 26 finished with value: 46.953659259146264 and parameters: {'factor': 0.6092663925006035, 'self_conf': 2.289536319602277, 'swarm_conf': 1.932420600794972, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6163527370237747, 'angle': 2.241961304400387, 'sigma': 0.1550278400580099}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:42,690] Trial 27 finished with value: 53.4665317012341 and parameters: {'factor': 0.43329865355273894, 'self_conf': 2.2019186947347222, 'swarm_conf': 2.2826889409277227, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8148398208734047, 'angle': 2.052851778657729, 'sigma': 0.1765687774240316}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:44,131] Trial 28 finished with value: 45.988830075758514 and parameters: {'factor': 0.3687497282118244, 'self_conf': 1.764882352854555, 'swarm_conf': 2.472048148908759, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5136968921796135, 'angle': 1.8730913757920828, 'sigma': 0.1993645036616105}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:45,550] Trial 29 finished with value: 95.5135274629567 and parameters: {'factor': 0.7202055804582945, 'self_conf': 1.9992863152907605, 'swarm_conf': 2.0535424890991862, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6879980338354537, 'angle': 1.2262894809064437, 'sigma': 0.10714552174841986}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:47,047] Trial 30 finished with value: 64.364660261952 and parameters: {'factor': 0.5252283957806206, 'self_conf': 2.3834476860496054, 'swarm_conf': 2.4010151068430834, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.36439176312315824, 'angle': 2.1028305089240096, 'sigma': 0.0746662762204578}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:48,540] Trial 31 finished with value: 35.653336686441975 and parameters: {'factor': 0.32519342613736296, 'self_conf': 2.2121058820587853, 'swarm_conf': 2.320627901568963, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7948455313871596, 'angle': 1.5601157885677057, 'sigma': 0.1259876632283625}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:50,025] Trial 32 finished with value: 33.34150822416947 and parameters: {'factor': 0.3806036622078359, 'self_conf': 2.3496009043987103, 'swarm_conf': 2.360128461297681, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7388392457138269, 'angle': 1.662154278289226, 'sigma': 0.1644030972958943}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:51,512] Trial 33 finished with value: 34.52978553108232 and parameters: {'factor': 0.3976212149205263, 'self_conf': 2.1747705637227748, 'swarm_conf': 2.2108075927974937, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6415421996898905, 'angle': 2.0914991190441845, 'sigma': 0.09786332110044821}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:52,934] Trial 34 finished with value: 54.70648615605466 and parameters: {'factor': 0.25751036960324825, 'self_conf': 2.371730954360391, 'swarm_conf': 2.858504804980887, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7405972381816615, 'angle': 1.7532256320353787, 'sigma': 0.16013702080868508}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:54,354] Trial 35 finished with value: 112.73187463966197 and parameters: {'factor': 0.46141893340862555, 'self_conf': 1.1009552377858804, 'swarm_conf': 2.5802404469683315, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.6754023362155579, 'angle': 1.9179650012556093, 'sigma': 0.17352301074071216}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:55,847] Trial 36 finished with value: 88.75721219367884 and parameters: {'factor': 0.1620280692548365, 'self_conf': 1.9896018825862598, 'swarm_conf': 2.395650338299865, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.56055193131022, 'angle': 2.079565943294963, 'sigma': 0.088028080134923}. Best is trial 16 with value: 28.744964218045794.
